code,20-07-10_close,20-07-10_volume
9504,1400.0,1159100.0
4644,1050.0,1153700.0
6925,1317.0,1152600.0
8725,2859.5,1140100.0
7011,2538.0,1137400.0
4523,8723.0,1134700.0
2002,1522.0,1129100.0
6298,657.0,1126000.0
8282,1351.0,1120400.0
4477,6530.0,1116500.0
7832,5762.0,1107000.0
3186,959.0,1104100.0
9509,398.0,1095800.0
4452,8409.0,1090400.0
4497,7860.0,1089300.0
4042,1427.0,1081800.0
2433,1133.0,1081500.0
6584,619.0,1065900.0
8359,392.0,1065400.0
2379,2160.0,1064900.0
5901,1134.0,1061300.0
2705,3050.0,1054900.0
3050,1271.0,1054200.0
6988,5850.0,1050900.0
6954,19725.0,1047400.0
2121,2101.0,1046800.0
3825,91.0,1042300.0
6141,1245.0,1041400.0
7181,1407.0,1037000.0
9716,777.0,1032600.0
4978,439.0,1031600.0
6841,1598.0,1030900.0
4063,12410.0,1028800.0
8334,321.0,1026800.0
3966,1988.0,1026700.0
1447,640.0,1025600.0
1459,3155.0,1013326.0
4506,1347.0,1011500.0
6448,1833.0,1010300.0
8303,1264.0,1006600.0
4182,1603.0,1003000.0
4651,260.0,999400.0
3681,1238.0,987600.0
9735,9242.0,985900.0
8589,65.0,985500.0
9107,1030.0,979800.0
5333,1382.0,974300.0
7831,159.0,972300.0
3656,709.0,972000.0
9508,893.0,967700.0
6383,10030.0,964800.0
6367,18415.0,961700.0
4091,1774.0,957300.0
8508,282.0,949100.0
3105,734.0,948000.0
4704,6180.0,947300.0
8704,84.0,942300.0
7741,10735.0,937100.0
6444,280.0,935700.0
1893,572.0,933100.0
4004,2271.0,931100.0
4062,3130.0,927800.0
3697,12780.0,926800.0
7616,1332.0,925000.0
2160,1569.0,924800.0
3777,23.0,917300.0
9616,3605.0,916400.0
4183,2167.0,912800.0
4776,3490.0,912300.0
8729,2597.0,911100.0
1801,3780.0,906500.0
8015,2663.0,903800.0
7180,432.0,902300.0
2303,2399.0,901800.0
3689,1602.0,901600.0
4485,6010.0,900700.0
7974,48680.0,899400.0
5214,1629.0,896400.0
9142,2525.0,893300.0
4151,2680.0,882700.0
4565,1522.0,881000.0
5110,964.0,880600.0
3926,1263.0,878900.0
2651,5500.0,878300.0
4088,1454.0,876500.0
2181,1378.0,872900.0
3660,281.0,869700.0
6095,3040.0,868600.0
4307,2897.0,861800.0
4974,3010.0,861100.0
1973,2211.0,860300.0
8630,3641.0,859300.0
6305,3000.0,858100.0
2929,1084.0,857800.0
9531,2568.5,857500.0
4185,2110.0,855300.0
9766,3270.0,844000.0
7732,806.0,843400.0
4536,1857.0,830800.0
6407,2121.0,828200.0
6183,1669.0,826900.0
